time,type,id,x,y,yaw
1758557020.514542,herder,1,-1.967301513671875,-1.4665706787109376,0.2504902908748848
1758557020.514542,herder,2,0.8892264404296875,0.8736123046875,-0.20761685943402614
1758557020.514542,target,1,-3.2957978515625,1.8300185546875,-2.6699734561476607
1758557020.514542,target,2,1.08264599609375,2.6195048828125,2.3277178412883455
1758557020.514542,target,3,3.69516259765625,-2.21502783203125,-3.1135311914997374
1758557020.514542,target,4,-1.4930506591796875,-2.795422607421875,-0.4119218117364297
1758557020.514542,target,5,1.8004154052734376,-1.454554931640625,1.9800257825377972
1758557020.5345256,herder,1,-1.9672861328125,-1.4665609130859374,0.250464990844529
1758557020.5345256,herder,2,0.8892156372070312,0.8736198120117188,-0.20762196937436772
1758557020.5345256,target,1,-3.295722412109375,1.8299951171875,-2.6714128947168487
1758557020.5345256,target,2,1.0826611328125,2.619481689453125,2.327432616735598
1758557020.5345256,target,3,3.695175537109375,-2.21501611328125,-3.114304307164187
1758557020.5345256,target,4,-1.4930482177734374,-2.79546533203125,-0.41224438712346556
1758557020.5345256,target,5,1.80038427734375,-1.4545277099609375,1.980240033847494
1758557020.5544856,herder,1,-1.9672791748046874,-1.466561279296875,0.25055939990517234
1758557020.5544856,herder,2,0.8892244262695312,0.8736129150390625,-0.20774319313823678
1758557020.5544856,target,1,-3.29571630859375,1.829986083984375,-2.6711915860302633
1758557020.5544856,target,2,1.0826378173828124,2.619509033203125,2.3274126430274227
1758557020.5544856,target,3,3.69517578125,-2.215019775390625,-3.1142055038877454
1758557020.5544856,target,4,-1.493059326171875,-2.795421630859375,-0.412339228947786
1758557020.5544856,target,5,1.800387451171875,-1.4545211181640625,1.9806941028133525
1758557020.575091,herder,1,-1.9672657470703125,-1.466572998046875,0.2504812860614489
1758557020.575091,herder,2,0.8892266235351562,0.8736254272460937,-0.20752068602916063
1758557020.575091,target,1,-3.295723876953125,1.8299859619140626,-2.670716478091793
1758557020.575091,target,2,1.0826494140625,2.61950244140625,2.327056578389679
1758557020.575091,target,3,3.695133056640625,-2.2150107421875,-3.1142731481794335
1758557020.575091,target,4,-1.4930921630859375,-2.795288818359375,-0.41146740987543495
1758557020.575091,target,5,1.8003475341796875,-1.4546046142578124,1.9795456145932557
1758557020.5945094,herder,1,-1.9672860107421875,-1.4665806884765624,0.2506005623887709
1758557020.5945094,herder,2,0.8892166748046875,0.8736209716796876,-0.2075136120075151
1758557020.5945094,target,1,-3.29577587890625,1.83,-2.671756975129687
1758557020.5945094,target,2,1.0826414794921875,2.619506103515625,2.3274198335623657
1758557020.5945094,target,3,3.695134765625,-2.21503515625,-3.1135764652382685
1758557020.5945094,target,4,-1.4930718994140626,-2.795344970703125,-0.41245810580094444
1758557020.5945094,target,5,1.8003162841796876,-1.4546015625,1.9791915473263297
1758557020.6145034,herder,1,-1.967307373046875,-1.4665655517578124,0.2506572044962055
1758557020.6145034,herder,2,0.88922265625,0.8736205444335937,-0.2076264301691936
1758557020.6145034,target,1,-3.29581884765625,1.8299962158203125,-2.6710022352767586
1758557020.6145034,target,2,1.0826474609375,2.619512451171875,2.327363640863365
1758557020.6145034,target,3,3.69516650390625,-2.215024169921875,-3.114150110137072
1758557020.6145034,target,4,-1.4930960693359374,-2.795299560546875,-0.4120849636427107
1758557020.6145034,target,5,1.800451416015625,-1.454658935546875,1.976920137232601
1758557020.6345327,herder,1,-1.9673057861328125,-1.4665728759765626,0.2505221156499112
1758557020.6345327,herder,2,0.8892430419921875,0.8736259765625,-0.20753977756522515
1758557020.6345327,target,1,-3.295806640625,1.829981201171875,-2.6710887880121863
1758557020.6345327,target,2,1.082658935546875,2.61953125,2.327287740772298
1758557020.6345327,target,3,3.695188232421875,-2.215046875,-3.114067552143279
1758557020.6345327,target,4,-1.4930985107421875,-2.7952451171875,-0.4134410119802654
1758557020.6345327,target,5,1.800382080078125,-1.454637939453125,1.9784032516436663
1758557020.6544824,herder,1,-1.967297119140625,-1.4665767822265625,0.2504496110892338
1758557020.6544824,herder,2,0.889224853515625,0.8736213989257813,-0.20772974417473186
1758557020.6544824,target,1,-3.2957939453125,1.829984619140625,-2.669479439765451
1758557020.6544824,target,2,1.0826478271484374,2.61950732421875,2.327162039568846
1758557020.6544824,target,3,3.695156005859375,-2.21500244140625,-3.113485385128988
1758557020.6544824,target,4,-1.4931485595703125,-2.79506103515625,-0.4163438908579654
1758557020.6544824,target,5,1.8004376220703124,-1.45468798828125,1.9776109612193677
1758557020.6745646,herder,1,-1.9672864990234376,-1.4665543212890626,0.2505851826334756
1758557020.6745646,herder,2,0.8892220458984375,0.8736173706054687,-0.20760663955334294
1758557020.6745646,target,1,-3.295786865234375,1.829988037109375,-2.67063951273629
1758557020.6745646,target,2,1.0826383056640625,2.619505615234375,2.327168697471571
1758557020.6745646,target,3,3.6951220703125,-2.215014892578125,-3.1129351760477775
1758557020.6745646,target,4,-1.4930924072265626,-2.795286376953125,-0.41348974782821385
1758557020.6745646,target,5,1.8004068603515626,-1.4546060791015625,1.9792133852472684
1758557020.6945603,herder,1,-1.9672745361328126,-1.4665736083984375,0.25062684445977856
1758557020.6945603,herder,2,0.88923388671875,0.8736218872070313,-0.2075585528509102
1758557020.6945603,target,1,-3.295833984375,1.830033935546875,-2.6710461774347447
1758557020.6945603,target,2,1.082634765625,2.619522705078125,2.327619836960231
1758557020.6945603,target,3,3.69512890625,-2.21501708984375,-3.113414545043992
1758557020.6945603,target,4,-1.4930811767578125,-2.7953330078125,-0.4119883907636817
