timestamp,H1_x,H1_y,H1_theta,H2_x,H2_y,H2_theta,T1_x,T1_y,T1_theta,T2_x,T2_y,T2_theta,T3_x,T3_y,T3_theta,T4_x,T4_y,T4_theta,T5_x,T5_y,T5_theta,O1_x,O1_y,O1_theta,O2_x,O2_y,O2_theta,O3_x,O3_y,O3_theta
2025-09-23T16:44:41.482+02:00,1.138755859375,-0.9862911376953125,-1.3524832969614875,-0.5502308959960938,1.325169677734375,-1.6820464192235396,1.937109130859375,-2.376896728515625,2.209103442655361,-2.621035888671875,3.311448486328125,-0.7453080016118315,3.241293212890625,-0.4948651428222656,2.906016614096327,-3.204494873046875,-0.059545028686523435,1.691286656099733,2.455260498046875,2.34863427734375,0.5697504251829906,2.0264239501953125,2.205661865234375,0.8614412662152439,1.0680068359375,-2.115961181640625,2.7235341530430075,-2.75690869140625,-0.15915127563476564,-1.1871318859362117
2025-09-23T16:44:41.502+02:00,1.1387664794921875,-0.9862446899414062,-1.3526737129794282,-0.55023974609375,1.3251573486328125,-1.6820626645061891,1.93715087890625,-2.376954345703125,2.208119005158413,-2.62106201171875,3.311478515625,-0.7461268570680036,3.2412958984375,-0.4948491821289063,2.905242965799659,-3.2045498046875,-0.059528125762939456,1.691598911737545,2.455259033203125,2.348637451171875,0.5700588192372217,2.026421630859375,2.205656494140625,0.8615195631512922,1.068023681640625,-2.115970458984375,2.7234561224230682,-2.756903564453125,-0.15914039611816405,-1.1870985964225858
2025-09-23T16:44:41.522+02:00,1.1387801513671876,-0.98626953125,-1.3525385575541067,-0.5502322998046875,1.325153076171875,-1.6818663895338504,1.9371461181640626,-2.37697900390625,2.2076649361925544,-2.621072509765625,3.31147705078125,-0.7462172048079845,3.241285888671875,-0.49484854125976563,2.906005961451967,-3.204474365234375,-0.05954757690429688,1.691250437108908,2.455259033203125,2.34864111328125,0.5695146688474912,2.026425048828125,2.2056630859375,0.8615399363336312,1.0680206298828125,-2.115947265625,2.7232984632865356,-2.756916748046875,-0.15915052795410156,-1.1871397422614276
2025-09-23T16:44:41.542+02:00,1.138784912109375,-0.9863221435546875,-1.3523834284206095,-0.550242919921875,1.32515283203125,-1.6820288423603451,1.937073974609375,-2.376969970703125,2.209740470788108,-2.621061279296875,3.311494873046875,-0.7462680046057778,3.241285888671875,-0.49485537719726563,2.9068046434628814,-3.204416748046875,-0.05953893280029297,1.6918824052355839,2.4552509765625,2.34862841796875,0.5695738576027183,2.026421142578125,2.205667724609375,0.8615013204978251,1.0680037841796874,-2.1159580078125,2.7233519928244463,-2.756913818359375,-0.15917478942871094,-1.1871677054528733
2025-09-23T16:44:41.562+02:00,1.1387733154296875,-0.986339599609375,-1.3524043342351666,-0.550257568359375,1.3251578369140624,-1.6819785086157426,1.93710791015625,-2.3768818359375,2.2102379492797346,-2.621037109375,3.3114775390625,-0.7458144016931101,3.241291015625,-0.4948653869628906,2.906483998867636,-3.204452880859375,-0.05954356002807617,1.6923391373625325,2.455260498046875,2.348649169921875,0.5697719967878202,2.026423583984375,2.2056640625,0.861529816321489,1.067929931640625,-2.11593115234375,2.723221497931032,-2.756912841796875,-0.15915116882324218,-1.1871061864316925
2025-09-23T16:44:41.582+02:00,1.1387723388671875,-0.9863199462890625,-1.3526698513958475,-0.550259765625,1.3251710205078124,-1.6819935554759016,1.937120361328125,-2.37691455078125,2.208751772233416,-2.62105810546875,3.311474853515625,-0.746417341363904,3.24126123046875,-0.4948682556152344,2.907100520659989,-3.204404296875,-0.05954700469970703,1.6921106381410036,2.455252685546875,2.34862939453125,0.5697279880508066,2.02642333984375,2.20566015625,0.8614691628276624,1.0679075927734376,-2.115951171875,2.723311779091986,-2.756915283203125,-0.15916310119628907,-1.1871602486018211
2025-09-23T16:44:41.602+02:00,1.13876220703125,-0.9862957153320312,-1.3525625260039174,-0.5502415771484375,1.3251685791015626,-1.6819444201537896,1.93712451171875,-2.377001953125,2.2092504491475333,-2.621056396484375,3.311491455078125,-0.7458984910045293,3.241311767578125,-0.4948554992675781,2.9060307288501046,-3.204462646484375,-0.059547031402587894,1.691063083726221,2.45529638671875,2.34863037109375,0.5701759983251852,2.0264310302734376,2.205656005859375,0.8615809490144185,1.067878662109375,-2.115970703125,2.723381021280328,-2.75692138671875,-0.15916317749023437,-1.1871787575713972
2025-09-23T16:44:41.622+02:00,1.13878564453125,-0.986259521484375,-1.3526587992773238,-0.5502335205078125,1.325147705078125,-1.6819168564365072,1.937124267578125,-2.376923828125,2.2098882762286074,-2.621069091796875,3.311443603515625,-0.7461290541759029,3.241287841796875,-0.49483282470703127,2.905975867731649,-3.204443359375,-0.05954845809936524,1.6913238071969396,2.4552841796875,2.348624267578125,0.5695364401894026,2.026416259765625,2.20565966796875,0.8614656341392181,1.06791357421875,-2.115970947265625,2.723345867553939,-2.75690283203125,-0.15915045166015626,-1.1871236301368324
2025-09-23T16:44:41.642+02:00,1.13878564453125,-0.986259521484375,-1.3526587992773238,-0.5502335205078125,1.325147705078125,-1.6819168564365072,1.937124267578125,-2.376923828125,2.2098882762286074,-2.621069091796875,3.311443603515625,-0.7461290541759029,3.241287841796875,-0.49483282470703127,2.905975867731649,-3.204443359375,-0.05954845809936524,1.6913238071969396,2.4552841796875,2.348624267578125,0.5695364401894026,2.026416259765625,2.20565966796875,0.8614656341392181,1.06791357421875,-2.115970947265625,2.723345867553939,-2.75690283203125,-0.15915045166015626,-1.1871236301368324
2025-09-23T16:44:41.662+02:00,1.1387760009765624,-0.9863020629882813,-1.3525171191073315,-0.5502432861328125,1.3251478271484376,-1.6819189869653794,1.9371278076171874,-2.3769912109375,2.2076829125299127,-2.6210732421875,3.311478759765625,-0.746558156006542,3.241293701171875,-0.4948487854003906,2.9060336583273036,-3.204412841796875,-0.05953892517089844,1.69272369782394,2.455285400390625,2.348635986328125,0.5703168129678231,2.0264248046875,2.205665283203125,0.8614647686118638,1.0679765625,-2.11596435546875,2.723425762386641,-2.75691015625,-0.15914030456542969,-1.1871101811733276
2025-09-23T16:44:41.682+02:00,1.138771728515625,-0.9863370361328125,-1.3524927511833573,-0.55025341796875,1.325152099609375,-1.6819426890990812,1.9370843505859374,-2.3769375,2.210110650179629,-2.621052978515625,3.311451416015625,-0.7466584240215834,3.241287841796875,-0.4948558349609375,2.905882923409605,-3.2045048828125,-0.0595471305847168,1.691720218725198,2.455273681640625,2.34862646484375,0.5702249339102154,2.0264132080078125,2.20567041015625,0.8614875386391839,1.067927490234375,-2.115945556640625,2.723382352860873,-2.75691162109375,-0.15913970947265624,-1.1871145753891263
2025-09-23T16:44:41.702+02:00,1.1387506103515626,-0.98632373046875,-1.3526101965874298,-0.5502579956054687,1.3251680908203125,-1.6818051368287785,1.9371048583984376,-2.37695751953125,2.2094259514633694,-2.621057373046875,3.31147900390625,-0.7463140772926362,3.24128662109375,-0.49487881469726563,2.905674397896252,-3.20453857421875,-0.059559642791748045,1.6938510139133705,2.455252685546875,2.348627685546875,0.5698370444974453,2.026423828125,2.205657958984375,0.8615710953183852,1.0679051513671876,-2.115961669921875,2.723244933748625,-2.756921875,-0.15916961669921875,-1.1871679717689823
2025-09-23T16:44:41.722+02:00,1.1387613525390625,-0.9863008422851562,-1.3525928860403442,-0.5502596435546875,1.3251690673828125,-1.6818000768227073,1.9371016845703124,-2.37694140625,2.208778670160426,-2.621070556640625,3.311487548828125,-0.7458002869393326,3.2412666015625,-0.49487957763671875,2.906091715239067,-3.20449609375,-0.059544746398925784,1.6937627301232343,2.45526318359375,2.34862255859375,0.5699678722859955,2.0264168701171874,2.205665283203125,0.8614760870464966,1.067942138671875,-2.11594482421875,2.72328914222272,-2.756925048828125,-0.15915756225585936,-1.1871153743374532
2025-09-23T16:44:41.742+02:00,1.138754150390625,-0.9862619018554688,-1.3524642553596935,-0.5502444458007812,1.3251611328125,-1.681979174406015,1.9371282958984375,-2.37693115234375,2.2081597515230915,-2.621069580078125,3.311474853515625,-0.7458641362264673,3.241273681640625,-0.49486346435546874,2.906459764101716,-3.204523681640625,-0.059548473358154295,1.6925481955081036,2.45525439453125,2.348625,0.5693582081334491,2.0264176025390626,2.20567138671875,0.8615370068564322,1.0679813232421875,-2.11595556640625,2.723406853942902,-2.75691796875,-0.1591641845703125,-1.1871313533039938
2025-09-23T16:44:41.762+02:00,1.138762451171875,-0.986259765625,-1.3523401520528957,-0.550234130859375,1.3251572265625,-1.6819852996765223,1.9371219482421875,-2.37693505859375,2.207567730812767,-2.62105322265625,3.31147900390625,-0.746067002522504,3.241324462890625,-0.4948390808105469,2.9056387115376445,-3.204493408203125,-0.059545265197753904,1.6920692259860528,2.455267333984375,2.348627197265625,0.5698877777162114,2.0264234619140624,2.205662841796875,0.8615543174035177,1.0680009765625,-2.115953369140625,2.72337516232593,-2.75691650390625,-0.1591667022705078,-1.18720485655008
2025-09-23T16:44:41.782+02:00,1.1387803955078124,-0.986279296875,-1.3527681220400716,-0.5502515258789062,1.3251527099609375,-1.6817912883911101,1.9371053466796875,-2.37700537109375,2.2088351291755353,-2.621058349609375,3.311468505859375,-0.7453456187622288,3.241306884765625,-0.49483895874023437,2.90551647244361,-3.204473876953125,-0.05953246307373047,1.6923601763351441,2.455257080078125,2.34864208984375,0.5699514272662642,2.026421142578125,2.205662353515625,0.8615177655175563,1.0680062255859375,-2.115948974609375,2.7232254926726673,-2.7569248046875,-0.1591800537109375,-1.187240010276469
