timestamp,H1_x,H1_y,H1_theta,H2_x,H2_y,H2_theta,T1_x,T1_y,T1_theta,T2_x,T2_y,T2_theta,T3_x,T3_y,T3_theta,O1_x,O1_y,O1_theta
2025-09-11T16:45:52.864+02:00,-595.4624633789062,106.32280731201172,-0.9288877248764038,928.350341796875,222.56668090820312,1.811444640159607,62.431461334228516,-1011.7298583984375,-2.697528839111328,-267.89300537109375,789.6333618164062,2.011579751968384,457.3254699707031,790.3605346679688,-1.5609136819839478,105.92676544189453,-618.7738037109375,0.28796613216400146
2025-09-11T16:45:52.883+02:00,-595.4624633789062,106.32280731201172,-0.9288877248764038,928.350341796875,222.56668090820312,1.811444640159607,62.431461334228516,-1011.7298583984375,-2.697528839111328,-267.89300537109375,789.6333618164062,2.011579751968384,457.3254699707031,790.3605346679688,-1.5609136819839478,105.92676544189453,-618.7738037109375,0.28796613216400146
2025-09-11T16:45:52.903+02:00,-595.4684448242188,106.30663299560547,-0.9288326501846313,928.4892578125,222.53506469726562,1.810834527015686,62.45266342163086,-1011.738525390625,-2.6970932483673096,-267.8944091796875,789.6419067382812,2.0117297172546387,457.39935302734375,790.3759155273438,-1.5619527101516724,105.9478530883789,-618.7734375,0.2879098951816559
2025-09-11T16:45:52.923+02:00,-595.3887329101562,106.1653823852539,-0.9282301664352417,928.4151611328125,222.78094482421875,1.8067903518676758,62.46427536010742,-1011.7402954101562,-2.697295904159546,-267.911376953125,789.6473388671875,2.012230396270752,457.4291687011719,790.3607788085938,-1.5621182918548584,105.89888000488281,-618.7357788085938,0.28822988271713257
2025-09-11T16:45:52.943+02:00,-595.5321044921875,106.37590026855469,-0.9278283715248108,928.4609985351562,222.5927734375,1.812327265739441,62.445648193359375,-1011.739501953125,-2.697282552719116,-267.9129333496094,789.6521606445312,2.0122475624084473,457.3885803222656,790.3453979492188,-1.5626219511032104,105.92294311523438,-618.764892578125,0.2879825234413147
2025-09-11T16:45:52.963+02:00,-595.5321044921875,106.37590026855469,-0.9278283715248108,928.4609985351562,222.5927734375,1.812327265739441,62.445648193359375,-1011.739501953125,-2.697282552719116,-267.9129333496094,789.6521606445312,2.0122475624084473,457.3885803222656,790.3453979492188,-1.5626219511032104,105.92294311523438,-618.764892578125,0.2879825234413147
2025-09-11T16:45:52.983+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.003+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.023+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.044+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.063+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.083+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
2025-09-11T16:45:53.103+02:00,-595.4011840820312,106.25159454345703,-0.9282919764518738,928.5108642578125,222.6051483154297,1.807656168937683,62.45106506347656,-1011.7367553710938,-2.6974596977233887,-267.8880615234375,789.6405029296875,2.011524200439453,457.4482116699219,790.4088745117188,-1.562685251235962,105.90930938720703,-618.7357177734375,0.28819000720977783
