time,type,id,x,y,yaw
1758790034.2418573,herder,1,3.141987548828125,2.400365234375,-3.0540761201637183
1758790034.2418573,herder,2,1.2362197265625,2.29293701171875,-0.21767029254907524
1758790034.2418573,target,1,2.037734619140625,2.522512939453125,-0.567716036426279
1758790034.2418573,target,2,2.200829833984375,1.9195574951171874,1.0649702233102687
1758790034.2418573,target,3,1.6023182373046876,1.039158203125,1.785094374968902
1758790034.2418573,target,4,1.53697412109375,2.338551513671875,-1.7581092294334018
1758790034.2418573,target,5,1.889842041015625,1.530624267578125,-2.603290032980949
1758790034.2618535,herder,1,3.1419765625,2.4003837890625,-3.0541909024067007
1758790034.2618535,herder,2,1.2362281494140626,2.292933837890625,-0.21776415233274374
1758790034.2618535,target,1,2.036295654296875,2.52043408203125,-0.5231920443208166
1758790034.2618535,target,2,2.20087451171875,1.9195184326171875,1.06522628624908
1758790034.2618535,target,3,1.6024091796875,1.039129150390625,1.7848489646744514
1758790034.2618535,target,4,1.5369849853515625,2.338529541015625,-1.7580214782754837
1758790034.2618535,target,5,1.8898564453125,1.5305794677734375,-2.603734514566883
1758790034.2819295,herder,1,3.14201025390625,2.40038623046875,-3.0542473614218104
1758790034.2819295,herder,2,1.23621875,2.292936767578125,-0.2177624212780352
1758790034.2819295,target,1,2.035007080078125,2.51800537109375,-0.4746208463067606
1758790034.2819295,target,2,2.200864990234375,1.9195335693359374,1.0653804166971683
1758790034.2819295,target,3,1.602419921875,1.039120361328125,1.7849654779721424
1758790034.2819295,target,4,1.53700146484375,2.3385322265625,-1.7579544997740681
1758790034.2819295,target,5,1.8898575439453125,1.5305535888671875,-2.604235455167927
1758790034.3018758,herder,1,3.14203515625,2.40038671875,-3.0541179317928324
1758790034.3018758,herder,2,1.236226806640625,2.292962646484375,-0.21779105025975354
1758790034.3018758,target,1,2.0333819580078125,2.515524658203125,-0.4234663820353278
1758790034.3018758,target,2,2.200831787109375,1.91954736328125,1.065060104997059
